Product ID,Description
BOX - Case,Box charge
LAGAV72L,Agave americana
LAGBF72L,Agave ‘Blue Flame’
LAGBG72L,Agave ‘Blue Glow’
LAGGV72L,Agapanthus africanus ‘Improved Peter Pan'
LALHE72L,Aloe 'Hercules'
LCADB72,Callistemon citrinus 'Little John'
LCOCR72L,Cordyline australis 'Red Sensation'
LCORS72L,Cordyline australis ‘Red Star’
LDIVA72L,Dianella tasmanica 'Variegata'
LFAGI72L,Farfugium japonicum Gigantea
LGIVA72L,Alpinia zerumbet 'Variegata'
LNACO72L,Nandina domestica 'Compacta'
LNADW72L,Nandina domestica 'Burgundy Wine'
LNAFL72L,Nandina Flirt™ PP21391-SL
LNAFP72L,Nandina domestica nana ‘Firepower’
LNAGS72L,Nandina domestica 'Gulf Stream'
LNAHD72L,Nandina domestica 'Harbour Dwarf'
LNAKA72L,Nandina Blush Pink™ PP19916-SL
LNALL72L,Nandina 'Lemon Lime' PPAF-SL
LNAOB72L,Nandina Obsession™ PP21891-SL
LNAPO72L,Nandina domestica Cool Glow Pomegranate
LPERU72L,Pennisetum setaceum 'Rubrum'-PFT
LYURC72L,Yucca pendula
LYURE72L,Hesperaloe parvifolia- PFT
Pallet layer charge,Box charge
PHYTO - FED,PHYTO - Federal
PHYTO - State,PHYTO - State
